药物1,药物2,相互作用类型,详细描述
erythromycin,dipyridamole,药效增强,The risk or severity of bleeding can be increased when Erythromycin is combined with Dipyridamole.
erythromycin,dabigatran,药效增强,The risk or severity of bleeding can be increased when Erythromycin is combined with Dabigatran.
erythromycin,triamcinolone acetonide,药效减弱,Erythromycin may decrease the excretion rate of Triamcinolone which could result in a higher serum level.
erythromycin,NSC756696,药效减弱,The therapeutic efficacy of Erythromycin can be decreased when used in combination with Clindamycin.
erythromycin,cortisone acetate,药效增强,The serum concentration of Cortisone acetate can be increased when it is combined with Erythromycin.
erythromycin,meprednisone,药效增强,The serum concentration of Meprednisone can be increased when it is combined with Erythromycin.
erythromycin,dexamethasone,药效增强,The serum concentration of Dexamethasone can be increased when it is combined with Erythromycin.
erythromycin,prednisone,药效增强,The serum concentration of Prednisone can be increased when it is combined with Erythromycin.
erythromycin,betamethasone dipropionate,药效增强,The serum concentration of Betamethasone can be increased when it is combined with Erythromycin.
erythromycin,methylprednisolone,药效增强,The serum concentration of Methylprednisolone can be increased when it is combined with Erythromycin.
erythromycin,N-acetylcysteine,药效减弱,The therapeutic efficacy of Acetylcysteine can be decreased when used in combination with Erythromycin.
erythromycin,NVP-BGJ398,药效减弱,The metabolism of Infigratinib can be decreased when combined with Erythromycin.
erythromycin,azithromycin,药效增强,The serum concentration of Azithromycin can be increased when it is combined with Erythromycin.
erythromycin,sertraline,药效增强,The serum concentration of Sertraline can be increased when it is combined with Erythromycin.
erythromycin,sibutramine,药效增强,The serum concentration of Sibutramine can be increased when it is combined with Erythromycin.
erythromycin,pregnenolone,药效增强,The serum concentration of Pregnenolone can be increased when it is combined with Erythromycin.
erythromycin,maraviroc,药效增强,The serum concentration of Maraviroc can be increased when it is combined with Erythromycin.
erythromycin,cyproterone acetate,药效增强,The serum concentration of Cyproterone acetate can be increased when it is combined with Erythromycin.
erythromycin,7-ethyl-10-hydroxycamptothecin,药效增强,The serum concentration of 7-ethyl-10-hydroxycamptothecin can be increased when it is combined with Erythromycin.
erythromycin,cabozantinib,药效增强,The serum concentration of Cabozantinib can be increased when it is combined with Erythromycin.
erythromycin,clarithromycin,药效增强,The serum concentration of Clarithromycin can be increased when it is combined with Erythromycin.
erythromycin,lonafarnib,药效增强,The serum concentration of Lonafarnib can be increased when it is combined with Erythromycin.
erythromycin,telithromycin,药效增强,The serum concentration of Telithromycin can be increased when it is combined with Erythromycin.
erythromycin,ARN-509,药效减弱,The serum concentration of Erythromycin can be decreased when it is combined with Apalutamide.
erythromycin,enzalutamide,药效减弱,The serum concentration of Erythromycin can be decreased when it is combined with Enzalutamide.
erythromycin,lumacaftor,药效减弱,The serum concentration of Erythromycin can be decreased when it is combined with Lumacaftor.
erythromycin,INCB28060,药效增强,The serum concentration of Capmatinib can be increased when it is combined with Erythromycin.
erythromycin,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Proparacaine.
erythromycin,desonide,药效增强,The serum concentration of Desonide can be increased when it is combined with Erythromycin.
erythromycin,DHEA,药效增强,The serum concentration of Prasterone can be increased when it is combined with Erythromycin.
azithromycin,proscillaridin A,药效增强,The serum concentration of Proscillaridin can be increased when it is combined with Azithromycin.
azithromycin,toremifene,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Toremifene.
azithromycin,bepridil,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Bepridil.
azithromycin,depsipeptide,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Romidepsin.
azithromycin,sulfisoxazole,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Sulfisoxazole.
azithromycin,adenosine,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Adenosine.
azithromycin,roxithromycin,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Roxithromycin.
azithromycin,CUDC-101,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with CUDC-101.
azithromycin,ranolazine,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ranolazine.
azithromycin,ondansetron,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ondansetron.
azithromycin,5-fluorouracil,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Fluorouracil.
azithromycin,lenvatinib,药效增强,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Lenvatinib.
azithromycin,indapamide,药效增强,The risk or severity of QTc prolongation can be increased when Indapamide is combined with Azithromycin.
azithromycin,disulfiram,药效增强,The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Azithromycin.
azithromycin,norfloxacin,药效增强,The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Azithromycin.
azithromycin,aripiprazole,药效增强,The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Azithromycin.
azithromycin,lamotrigine,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Azithromycin.
azithromycin,mometasone furoate,药效增强,The metabolism of Azithromycin can be increased when combined with Mometasone furoate.
azithromycin,clobetasol propionate,药效增强,The metabolism of Azithromycin can be increased when combined with Clobetasol propionate.
azithromycin,fluocinonide,药效增强,The metabolism of Azithromycin can be increased when combined with Fluocinonide.
azithromycin,cyproterone acetate,药效减弱,The metabolism of Azithromycin can be decreased when combined with Cyproterone acetate.
azithromycin,zafirlukast,药效减弱,The metabolism of Azithromycin can be decreased when combined with Zafirlukast.
azithromycin,7-ethyl-10-hydroxycamptothecin,药效减弱,The metabolism of Azithromycin can be decreased when combined with 7-ethyl-10-hydroxycamptothecin.
azithromycin,ridaforolimus,药效减弱,The metabolism of Azithromycin can be decreased when combined with Ridaforolimus.
azithromycin,lestaurtinib,药效减弱,The metabolism of Azithromycin can be decreased when combined with Lestaurtinib.
azithromycin,raloxifene,药效减弱,The metabolism of Azithromycin can be decreased when combined with Raloxifene.
azithromycin,fluticasone propionate,药效减弱,The metabolism of Azithromycin can be decreased when combined with Fluticasone propionate.
azithromycin,aminophylline,药效减弱,The metabolism of Aminophylline can be decreased when combined with Azithromycin.
azithromycin,vinblastine sulfate,药效减弱,The metabolism of Vinblastine can be decreased when combined with Azithromycin.
azithromycin,etoposide,药效减弱,The metabolism of Etoposide can be decreased when combined with Azithromycin.
azithromycin,pazopanib,药效减弱,The metabolism of Pazopanib can be decreased when combined with Azithromycin.
azithromycin,ceritinib,药效减弱,The metabolism of Ceritinib can be decreased when combined with Azithromycin.
azithromycin,doxorubicin hydrochloride,药效减弱,The metabolism of Doxorubicin can be decreased when combined with Azithromycin.
azithromycin,sunitinib malate,药效减弱,The metabolism of Sunitinib can be decreased when combined with Azithromycin.
azithromycin,everolimus,药效减弱,The metabolism of Everolimus can be decreased when combined with Azithromycin.
azithromycin,temsirolimus,药效减弱,The metabolism of Temsirolimus can be decreased when combined with Azithromycin.
azithromycin,cobimetinib,药效减弱,The metabolism of Cobimetinib can be decreased when combined with Azithromycin.
azithromycin,dacomitinib,药效减弱,The metabolism of Dacomitinib can be decreased when combined with Azithromycin.
azithromycin,dabrafenib,药效减弱,The serum concentration of Azithromycin can be decreased when it is combined with Dabrafenib.
azithromycin,crizotinib,药效减弱,The metabolism of Crizotinib can be decreased when combined with Azithromycin.
azithromycin,venetoclax,药效减弱,The metabolism of Venetoclax can be decreased when combined with Azithromycin.
azithromycin,panobinostat,药效减弱,The metabolism of Panobinostat can be decreased when combined with Azithromycin.
azithromycin,methotrexate,药效减弱,The metabolism of Methotrexate can be decreased when combined with Azithromycin.
azithromycin,vincristine sulfate,药效减弱,The metabolism of Vincristine can be decreased when combined with Azithromycin.
azithromycin,ponatinib,药效减弱,The metabolism of Ponatinib can be decreased when combined with Azithromycin.
azithromycin,NVP-BGJ398,药效减弱,The metabolism of Infigratinib can be decreased when combined with Azithromycin.
azithromycin,dipyridamole,药效增强,The risk or severity of adverse effects can be increased when Azithromycin is combined with Dipyridamole.
azithromycin,dabigatran,药效增强,The risk or severity of adverse effects can be increased when Azithromycin is combined with Dabigatran.
azithromycin,triamcinolone acetonide,药效减弱,Azithromycin may decrease the excretion rate of Triamcinolone which could result in a higher serum level.
azithromycin,dexamethasone,药效增强,The serum concentration of Dexamethasone can be increased when it is combined with Azithromycin.
azithromycin,cortisone acetate,药效增强,The serum concentration of Cortisone acetate can be increased when it is combined with Azithromycin.
azithromycin,meprednisone,药效增强,The serum concentration of Meprednisone can be increased when it is combined with Azithromycin.
azithromycin,deflazacort,药效增强,The serum concentration of Deflazacort can be increased when it is combined with Azithromycin.
azithromycin,betamethasone dipropionate,药效增强,The serum concentration of Betamethasone can be increased when it is combined with Azithromycin.
azithromycin,prednisone,药效增强,The serum concentration of Prednisone can be increased when it is combined with Azithromycin.
