node1,node2,combined_score
"Glutamate receptor ionotropic, NMDA 2B",Protein kinase C alpha type,0.747
"Glutamate receptor ionotropic, NMDA 2D","Glutamate receptor ionotropic, NMDA 3A",0.998
Glutathione S-transferase P,NAD(P)H dehydrogenase [quinone] 1,0.728
Glutathione S-transferase P,Glutathione synthetase,0.934
"Glycogen phosphorylase, muscle form",Muscarinic acetylcholine receptor M1,0.763
Heat shock protein HSP 90-alpha,Mitogen-activated protein kinase 1,0.941
Heat shock protein HSP 90-alpha,Vascular endothelial growth factor receptor 2,0.954
Heat shock protein HSP 90-alpha,Histone deacetylase 4,0.975
Heat shock protein HSP 90-alpha,Signal transducer and activator of transcription 3,0.971
Heat shock protein HSP 90-alpha,Receptor tyrosine-protein kinase erbB-2,0.999
Heat shock protein HSP 90-alpha,Mast/stem cell growth factor receptor Kit,0.708
Heat shock protein HSP 90-alpha,Telomerase reverse transcriptase,0.998
Heat shock protein HSP 90-alpha,Hepatocyte growth factor receptor,0.768
Heat shock protein HSP 90-alpha,Progesterone receptor,0.99
Heat shock protein HSP 90-alpha,"Nitric oxide synthase, inducible",0.731
Heat shock protein HSP 90-alpha,Thioredoxin,0.724
Heat shock protein HSP 90-alpha,Histone deacetylase 1,0.764
Heat shock protein HSP 90-alpha,Insulin-like growth factor 1 receptor,0.791
Heat shock protein HSP 90-alpha,Tyrosine-protein kinase JAK2,0.791
Heat shock protein HSP 90-alpha,Receptor tyrosine-protein kinase erbB-4,0.809
Heat shock protein HSP 90-alpha,Tyrosine-protein kinase Lyn,0.809
Heat shock protein HSP 90-alpha,Tyrosine-protein kinase Lck,0.834
Heat shock protein HSP 90-alpha,Mineralocorticoid receptor,0.864
Heat shock protein HSP 90-alpha,LIM domain kinase 1,0.882
Heat shock protein HSP 90-alpha,RuvB-like 2,0.886
Heat shock protein HSP 90-alpha,Serine/threonine-protein kinase Chk1,0.891
Heat shock protein HSP 90-alpha,Heat shock-related 70 kDa protein 2,0.896
Heat shock protein HSP 90-alpha,RAC-gamma serine/threonine-protein kinase,0.954
Heat shock protein HSP 90-alpha,Inhibitor of nuclear factor kappa-B kinase subunit beta,0.975
Heat shock protein HSP 90-alpha,Tyrosine-protein kinase ABL1,0.983
Heat shock protein HSP 90-alpha,Serine/threonine-protein kinase B-raf,0.984
Heat shock protein HSP 90-alpha,Inhibitor of nuclear factor kappa-B kinase subunit alpha,0.992
Heat shock protein HSP 90-alpha,Heat shock protein HSP 90-beta,0.997
Heat shock protein HSP 90-alpha,Serine/threonine-protein kinase mTOR,0.998
Heat shock protein HSP 90-alpha,Histone deacetylase 6,0.999
Heat shock protein HSP 90-alpha,Proto-oncogene tyrosine-protein kinase Src,0.999
Heat shock protein HSP 90-alpha,Hypoxia-inducible factor 1-alpha,0.999
Heat shock protein HSP 90-alpha,RAC-alpha serine/threonine-protein kinase,0.999
Heat shock protein HSP 90-beta,Mitogen-activated protein kinase 1,0.813
Heat shock protein HSP 90-beta,Vascular endothelial growth factor receptor 2,0.879
Heat shock protein HSP 90-beta,Histone deacetylase 4,0.962
Heat shock protein HSP 90-beta,Signal transducer and activator of transcription 3,0.89
Heat shock protein HSP 90-beta,Receptor tyrosine-protein kinase erbB-2,0.993
Heat shock protein HSP 90-beta,Peroxisome proliferator-activated receptor gamma,0.712
Heat shock protein HSP 90-beta,Telomerase reverse transcriptase,0.987
Heat shock protein HSP 90-beta,Progesterone receptor,0.978
Heat shock protein HSP 90-beta,LIM domain kinase 1,0.879
Heat shock protein HSP 90-beta,Mineralocorticoid receptor,0.862
Heat shock protein HSP 90-beta,Serine/threonine-protein kinase mTOR,0.998
Heat shock protein HSP 90-beta,Inhibitor of nuclear factor kappa-B kinase subunit alpha,0.979
Heat shock protein HSP 90-beta,Thioredoxin,0.713
Heat shock protein HSP 90-beta,Tyrosine-protein kinase Lyn,0.714
Heat shock protein HSP 90-beta,Histone deacetylase 1,0.751
Heat shock protein HSP 90-beta,Serine/threonine-protein kinase Chk1,0.875
Heat shock protein HSP 90-beta,Heat shock-related 70 kDa protein 2,0.899
Heat shock protein HSP 90-beta,Tyrosine-protein kinase ABL1,0.93
Heat shock protein HSP 90-beta,RuvB-like 2,0.937
Heat shock protein HSP 90-beta,RAC-gamma serine/threonine-protein kinase,0.956
Heat shock protein HSP 90-beta,Inhibitor of nuclear factor kappa-B kinase subunit beta,0.976
Heat shock protein HSP 90-beta,Proto-oncogene tyrosine-protein kinase Src,0.995
Heat shock protein HSP 90-beta,Hypoxia-inducible factor 1-alpha,0.998
Heat shock protein HSP 90-beta,Histone deacetylase 6,0.998
Heat shock protein HSP 90-beta,Serine/threonine-protein kinase B-raf,0.998
Heat shock protein HSP 90-beta,RAC-alpha serine/threonine-protein kinase,0.999
Heat shock-related 70 kDa protein 2,Voltage-dependent T-type calcium channel subunit alpha-1H,0.725
Heat shock-related 70 kDa protein 2,Voltage gated L-type calcium channel,0.724
Hepatocyte growth factor receptor,Vascular endothelial growth factor receptor 2,0.851
Hepatocyte growth factor receptor,Signal transducer and activator of transcription 3,0.981
Hepatocyte growth factor receptor,Receptor tyrosine-protein kinase erbB-2,0.847
Hepatocyte growth factor receptor,Poly [ADP-ribose] polymerase 1,0.701
Hepatocyte growth factor receptor,Matrix metalloproteinase-9,0.746
Hepatocyte growth factor receptor,Tyrosine-protein kinase JAK2,0.92
Hepatocyte growth factor receptor,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.925
Hepatocyte growth factor receptor,Tyrosine-protein phosphatase non-receptor type 1,0.954
Hepatocyte growth factor receptor,Proto-oncogene tyrosine-protein kinase Src,0.993
Histamine H1 receptor,Transient receptor potential cation channel subfamily V member 1,0.827
Histone deacetylase,Histone deacetylase 1,0.999
Histone deacetylase,Histone deacetylase 2,0.999
Histone deacetylase 1,Histone deacetylase 4,0.781
Histone deacetylase 1,Signal transducer and activator of transcription 3,0.984
Histone deacetylase 1,Peroxisome proliferator-activated receptor gamma,0.857
Histone deacetylase 1,Transcription factor Sp1,0.991
Histone deacetylase 1,Poly [ADP-ribose] polymerase 1,0.9
Histone deacetylase 1,Vitamin D3 receptor,0.728
Histone deacetylase 1,Histone deacetylase 6,0.735
Histone deacetylase 1,Retinoic acid receptor RXR-alpha,0.755
Histone deacetylase 1,RAC-alpha serine/threonine-protein kinase,0.758
Histone deacetylase 1,RuvB-like 2,0.946
Histone deacetylase 1,Hypoxia-inducible factor 1-alpha,0.983
Histone deacetylase 1,Histone deacetylase 2,0.999
Histone deacetylase 2,Histone deacetylase 4,0.827
Histone deacetylase 2,Signal transducer and activator of transcription 3,0.906
Histone deacetylase 2,Peroxisome proliferator-activated receptor gamma,0.784
Histone deacetylase 2,Transcription factor Sp1,0.916
Histone deacetylase 2,Poly [ADP-ribose] polymerase 1,0.882
Histone deacetylase 2,Histone deacetylase 6,0.741
Histone deacetylase 2,Retinoic acid receptor RXR-alpha,0.73
Histone deacetylase 2,Hypoxia-inducible factor 1-alpha,0.781
Histone deacetylase 4,Peroxisome proliferator-activated receptor gamma,0.8
Histone deacetylase 4,Hypoxia-inducible factor 1-alpha,0.955
Histone deacetylase 6,RAC-alpha serine/threonine-protein kinase,0.712
Histone deacetylase 6,Hypoxia-inducible factor 1-alpha,0.752
Hypoxia-inducible factor 1-alpha,Mitogen-activated protein kinase 1,0.985
Hypoxia-inducible factor 1-alpha,NF-kappa-B inhibitor alpha,0.735
Hypoxia-inducible factor 1-alpha,Vascular endothelial growth factor receptor 2,0.785
Hypoxia-inducible factor 1-alpha,Signal transducer and activator of transcription 3,0.994
Hypoxia-inducible factor 1-alpha,Vascular endothelial growth factor receptor 1,0.735
Hypoxia-inducible factor 1-alpha,Peroxisome proliferator-activated receptor gamma,0.854
Hypoxia-inducible factor 1-alpha,Telomerase reverse transcriptase,0.702
Hypoxia-inducible factor 1-alpha,NAD(P)H dehydrogenase [quinone] 1,0.852
Hypoxia-inducible factor 1-alpha,Progesterone receptor,0.717
Hypoxia-inducible factor 1-alpha,Transcription factor Sp1,0.923
Hypoxia-inducible factor 1-alpha,Serine/threonine-protein kinase mTOR,0.789
Hypoxia-inducible factor 1-alpha,Poly [ADP-ribose] polymerase 1,0.707
Hypoxia-inducible factor 1-alpha,Prostaglandin G/H synthase 2,0.831
Hypoxia-inducible factor 1-alpha,Matrix metalloproteinase-9,0.824
Hypoxia-inducible factor 1-alpha,Proto-oncogene tyrosine-protein kinase Src,0.872
Hypoxia-inducible factor 1-alpha,Tyrosine-protein kinase JAK2,0.784
Hypoxia-inducible factor 1-alpha,Insulin-like growth factor 1 receptor,0.752
Hypoxia-inducible factor 1-alpha,RuvB-like 2,0.775
Hypoxia-inducible factor 1-alpha,RAC-alpha serine/threonine-protein kinase,0.932
Inhibitor of nuclear factor kappa-B kinase subunit alpha,NF-kappa-B inhibitor alpha,0.999
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Protein kinase C theta type,0.969
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Serine/threonine-protein kinase mTOR,0.973
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Proto-oncogene tyrosine-protein kinase Src,0.75
Inhibitor of nuclear factor kappa-B kinase subunit alpha,RAC-gamma serine/threonine-protein kinase,0.916
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Mitogen-activated protein kinase kinase kinase 1,0.971
Inhibitor of nuclear factor kappa-B kinase subunit alpha,RAC-alpha serine/threonine-protein kinase,0.996
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Inhibitor of nuclear factor kappa-B kinase subunit beta,0.999
Inhibitor of nuclear factor kappa-B kinase subunit beta,NF-kappa-B inhibitor alpha,0.999
Inhibitor of nuclear factor kappa-B kinase subunit beta,Protein kinase C theta type,0.981
Inhibitor of nuclear factor kappa-B kinase subunit beta,Signal transducer and activator of transcription 3,0.749
Inhibitor of nuclear factor kappa-B kinase subunit beta,Serine/threonine-protein kinase mTOR,0.769
Inhibitor of nuclear factor kappa-B kinase subunit beta,Proto-oncogene tyrosine-protein kinase Src,0.918
Inhibitor of nuclear factor kappa-B kinase subunit beta,Mitogen-activated protein kinase kinase kinase 1,0.982
Inhibitor of nuclear factor kappa-B kinase subunit beta,RAC-gamma serine/threonine-protein kinase,0.917
Inhibitor of nuclear factor kappa-B kinase subunit beta,RAC-alpha serine/threonine-protein kinase,0.99
Inosine-5'-monophosphate dehydrogenase 1,Inosine-5'-monophosphate dehydrogenase 2,0.984
Insulin receptor,Receptor tyrosine-protein kinase erbB-2,0.853
Insulin receptor,Proto-oncogene tyrosine-protein kinase Src,0.705
Insulin receptor,Tyrosine-protein kinase JAK2,0.797
Insulin receptor,Protein kinase C beta type,0.911
Insulin receptor,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.944
Insulin receptor,Insulin-like growth factor 1 receptor,0.997
Insulin receptor,Tyrosine-protein phosphatase non-receptor type 1,0.999
Insulin-like growth factor 1 receptor,Signal transducer and activator of transcription 3,0.921
Insulin-like growth factor 1 receptor,Receptor tyrosine-protein kinase erbB-2,0.993
Insulin-like growth factor 1 receptor,Progesterone receptor,0.82
Insulin-like growth factor 1 receptor,Serine/threonine-protein kinase mTOR,0.872
Insulin-like growth factor 1 receptor,Tyrosine-protein phosphatase non-receptor type 1,0.993
Insulin-like growth factor 1 receptor,Proto-oncogene tyrosine-protein kinase Src,0.996
Insulin-like growth factor 1 receptor,Tyrosine-protein kinase JAK2,0.981
Insulin-like growth factor 1 receptor,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.971
Interstitial collagenase,Signal transducer and activator of transcription 3,0.869
Interstitial collagenase,Plasminogen,0.706
Interstitial collagenase,Prostaglandin G/H synthase 2,0.757
Interstitial collagenase,Matrix metalloproteinase-9,0.974
Inward rectifier potassium channel,Inward rectifier potassium channel 2,0.815
Inward rectifier potassium channel 2,Potassium voltage-gated channel subfamily KQT member 1,0.992
Inward rectifier potassium channel 2,Voltage gated L-type calcium channel,0.813
Inward rectifier potassium channel 2,Inward rectifier potassium channel 4,0.958
Inward rectifier potassium channel 4,Potassium voltage-gated channel subfamily KQT member 1,0.948
Large ribosomal subunit protein uL3,target_name,0.711
Large ribosomal subunit protein uL3,"Peptide deformylase, mitochondrial",0.762
Large ribosomal subunit protein uL3,Tubulin beta chain,0.833
Lysophosphatidylcholine acyltransferase 1,Lysophosphatidylcholine acyltransferase 2,0.91
Lysophosphatidylcholine acyltransferase 1,Phospholipase A2,0.731
Lysophosphatidylcholine acyltransferase 2,Phospholipase A2,0.714
Macrophage-stimulating protein receptor,Receptor tyrosine-protein kinase erbB-2,0.713
Mast/stem cell growth factor receptor Kit,Signal transducer and activator of transcription 3,0.96
Mast/stem cell growth factor receptor Kit,Tyrosine-protein kinase JAK2,0.707
Mast/stem cell growth factor receptor Kit,Tyrosine-protein kinase Lck,0.724
Mast/stem cell growth factor receptor Kit,Vascular cell adhesion protein 1,0.729
Mast/stem cell growth factor receptor Kit,Proto-oncogene tyrosine-protein kinase Src,0.802
Mast/stem cell growth factor receptor Kit,RAC-alpha serine/threonine-protein kinase,0.818
Mast/stem cell growth factor receptor Kit,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.852
Mast/stem cell growth factor receptor Kit,SH2B adapter protein 3,0.875
Mast/stem cell growth factor receptor Kit,Protein kinase C alpha type,0.912
Mast/stem cell growth factor receptor Kit,Tyrosine-protein kinase Lyn,0.928
Mast/stem cell growth factor receptor Kit,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.961
Matrix metalloproteinase-9,NF-kappa-B inhibitor alpha,0.704
Matrix metalloproteinase-9,Vascular endothelial growth factor receptor 2,0.811
Matrix metalloproteinase-9,Signal transducer and activator of transcription 3,0.89
Matrix metalloproteinase-9,Vascular endothelial growth factor receptor 1,0.779
Matrix metalloproteinase-9,Peroxisome proliferator-activated receptor gamma,0.765
Matrix metalloproteinase-9,Vascular cell adhesion protein 1,0.748
Matrix metalloproteinase-9,Plasminogen,0.829
Matrix metalloproteinase-9,Prostaglandin G/H synthase 2,0.815
Matrix metalloproteinase-9,RAC-alpha serine/threonine-protein kinase,0.827
Matrix metalloproteinase-9,Proto-oncogene tyrosine-protein kinase Src,0.97
Matrix metalloproteinase-9,Neutrophil elastase,0.973
Mineralocorticoid receptor,Progesterone receptor,0.708
Mitogen-activated protein kinase 1,Phospholipase A2,0.701
Mitogen-activated protein kinase 1,Tyrosine-protein kinase ABL1,0.724
Mitogen-activated protein kinase 1,Peroxisome proliferator-activated receptor gamma,0.736
Mitogen-activated protein kinase 1,Prostaglandin G/H synthase 2,0.78
Mitogen-activated protein kinase 1,Tyrosine-protein kinase JAK2,0.794
Mitogen-activated protein kinase 1,Tyrosine-protein kinase Lyn,0.829
Mitogen-activated protein kinase 1,Mitogen-activated protein kinase kinase kinase 1,0.858
Mitogen-activated protein kinase 1,RAC-gamma serine/threonine-protein kinase,0.927
Mitogen-activated protein kinase 1,Protein kinase C beta type,0.928
Mitogen-activated protein kinase 1,Protein kinase C alpha type,0.931
Mitogen-activated protein kinase 1,Proto-oncogene tyrosine-protein kinase Src,0.932
Mitogen-activated protein kinase 1,Serine/threonine-protein kinase B-raf,0.949
Mitogen-activated protein kinase 1,Transcription factor Sp1,0.969
Mitogen-activated protein kinase 1,RAC-alpha serine/threonine-protein kinase,0.988
Mitogen-activated protein kinase 1,Signal transducer and activator of transcription 3,0.996
Mitogen-activated protein kinase kinase kinase 1,NF-kappa-B inhibitor alpha,0.776
Mitogen-activated protein kinase kinase kinase 2,Proto-oncogene tyrosine-protein kinase Src,0.915
Mitogen-activated protein kinase kinase kinase 2,Tyrosine-protein kinase Lyn,0.77
Mu-type opioid receptor,Sodium-dependent dopamine transporter,0.704
Mu-type opioid receptor,Transient receptor potential cation channel subfamily V member 1,0.718
Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M3,0.91
Muscarinic acetylcholine receptor M1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.707
Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M5,0.905
Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M2,0.908
Muscarinic acetylcholine receptor M2,Neuronal acetylcholine receptor subunit beta-2,0.709
Muscarinic acetylcholine receptor M2,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.708
Muscarinic acetylcholine receptor M3,Muscarinic acetylcholine receptor M5,0.933
NAD(P)H dehydrogenase [quinone] 1,Vitamin K-dependent gamma-carboxylase,0.939
NAD(P)H dehydrogenase [quinone] 1,RAC-alpha serine/threonine-protein kinase,0.706
NAD(P)H dehydrogenase [quinone] 1,"Thioredoxin reductase 1, cytoplasmic",0.803
NAD(P)H dehydrogenase [quinone] 1,Thioredoxin,0.819
NAD(P)H dehydrogenase [quinone] 1,Vitamin K epoxide reductase complex subunit 1-like protein 1,0.906
NAD(P)H dehydrogenase [quinone] 1,Vitamin K epoxide reductase complex subunit 1,0.942
NF-kappa-B inhibitor alpha,Protein kinase C alpha type,0.713
NF-kappa-B inhibitor alpha,Signal transducer and activator of transcription 3,0.741
NF-kappa-B inhibitor alpha,Vascular cell adhesion protein 1,0.787
NF-kappa-B inhibitor alpha,Proto-oncogene tyrosine-protein kinase Src,0.797
NF-kappa-B inhibitor alpha,RAC-alpha serine/threonine-protein kinase,0.849
NF-kappa-B inhibitor alpha,Prostaglandin G/H synthase 2,0.856
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit beta-4,0.918
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit alpha-6,0.763
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit alpha-3,0.915
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit beta-2,0.948
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit alpha-4,0.939
Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine receptor subunit alpha-7,0.93
Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine receptor subunit beta-4,0.998
Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine receptor subunit alpha-6,0.826
Neuronal acetylcholine receptor subunit alpha-3,Tyrosine-protein kinase JAK2,0.902
Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine receptor subunit alpha-4,0.915
Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine receptor subunit alpha-7,0.918
Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine receptor subunit beta-2,0.962
Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine receptor subunit beta-4,0.92
Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine receptor subunit alpha-6,0.891
Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine receptor subunit beta-2,0.994
Neuronal acetylcholine receptor subunit alpha-4,Tyrosine-protein kinase JAK2,0.903
Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine receptor subunit alpha-7,0.925
Neuronal acetylcholine receptor subunit alpha-6,Neuronal acetylcholine receptor subunit beta-4,0.822
Neuronal acetylcholine receptor subunit alpha-6,Neuronal acetylcholine receptor subunit beta-2,0.749
Neuronal acetylcholine receptor subunit alpha-6,Neuronal acetylcholine receptor subunit alpha-7,0.776
Neuronal acetylcholine receptor subunit alpha-6,Tyrosine-protein kinase JAK2,0.9
Neuronal acetylcholine receptor subunit alpha-7,Neuronal acetylcholine receptor subunit beta-4,0.924
Neuronal acetylcholine receptor subunit alpha-7,Neuronal acetylcholine receptor subunit beta-2,0.923
Neuronal acetylcholine receptor subunit beta-2,Neuronal acetylcholine receptor subunit beta-4,0.91
Neuronal acetylcholine receptor subunit beta-2,Tyrosine-protein kinase JAK2,0.9
Neuronal acetylcholine receptor subunit beta-4,Tyrosine-protein kinase JAK2,0.9
Neutrophil elastase,Prothrombin,0.855
Neutrophil elastase,Protein-arginine deiminase type-4,0.877
Nicastrin,Presenilin-1,0.999
"Nitric oxide synthase, inducible",Signal transducer and activator of transcription 3,0.749
"Nitric oxide synthase, inducible",RAC-gamma serine/threonine-protein kinase,0.904
"Nitric oxide synthase, inducible",Prostaglandin G/H synthase 2,0.908
"Nitric oxide synthase, inducible",RAC-alpha serine/threonine-protein kinase,0.976
Nuclear receptor subfamily 0 group B member 1,Peroxisome proliferator-activated receptor gamma,0.801
Nuclear receptor subfamily 0 group B member 1,Steroid hormone receptor ERR2,0.861
Nuclear receptor subfamily 1 group I member 2,Solute carrier organic anion transporter family member 1B1,0.852
Nuclear receptor subfamily 1 group I member 2,Solute carrier organic anion transporter family member 1B3,0.811
Nuclear receptor subfamily 1 group I member 2,Retinoic acid receptor RXR-alpha,0.999
Orotate phosphoribosyltransferase,Thymidylate synthase,0.856
Osteocalcin,Vitamin K-dependent gamma-carboxylase,0.964
Osteocalcin,Peroxisome proliferator-activated receptor gamma,0.709
Osteocalcin,Vitamin K-dependent protein S,0.741
Oxysterols receptor LXR-alpha,Peroxisome proliferator-activated receptor gamma,0.865
Oxysterols receptor LXR-alpha,Retinoic acid receptor RXR-alpha,0.999
Oxysterols receptor LXR-alpha,Oxysterols receptor LXR-beta,0.915
Oxysterols receptor LXR-beta,Retinoic acid receptor RXR-alpha,0.998
"Peroxiredoxin-5, mitochondrial","Thioredoxin reductase 1, cytoplasmic",0.766
"Peroxiredoxin-5, mitochondrial",Thioredoxin,0.981
Peroxisome proliferator-activated receptor gamma,Signal transducer and activator of transcription 3,0.826
Peroxisome proliferator-activated receptor gamma,Prostaglandin G/H synthase 2,0.735
Peroxisome proliferator-activated receptor gamma,Proto-oncogene tyrosine-protein kinase Src,0.736
Peroxisome proliferator-activated receptor gamma,RAC-alpha serine/threonine-protein kinase,0.79
Peroxisome proliferator-activated receptor gamma,Protein kinase C alpha type,0.808
Peroxisome proliferator-activated receptor gamma,Steroid hormone receptor ERR1,0.898
Peroxisome proliferator-activated receptor gamma,Transcription factor Sp1,0.916
Peroxisome proliferator-activated receptor gamma,Serine/threonine-protein kinase mTOR,0.964
Peroxisome proliferator-activated receptor gamma,Retinoic acid receptor RXR-alpha,0.999
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Receptor-type tyrosine-protein kinase FLT3,0.93
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Platelet-derived growth factor receptor alpha,0.957
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Platelet-derived growth factor receptor beta,0.96
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Vascular endothelial growth factor receptor 3,0.735
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Vascular endothelial growth factor receptor 2,0.932
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Receptor tyrosine-protein kinase erbB-2,0.972
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Vascular endothelial growth factor receptor 1,0.908
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Progesterone receptor,0.92
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Receptor tyrosine-protein kinase erbB-4,0.947
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Serine/threonine-protein kinase mTOR,0.943
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Proto-oncogene tyrosine-protein kinase Src,0.967
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Tyrosine-protein kinase HCK,0.885
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Tyrosine-protein kinase JAK2,0.935
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Tyrosine-protein kinase ITK/TSK,0.919
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.997
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Tyrosine-protein kinase Lyn,0.957
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",RAC-alpha serine/threonine-protein kinase,0.992
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",RAC-gamma serine/threonine-protein kinase,0.964
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Platelet-derived growth factor receptor beta,0.731
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Signal transducer and activator of transcription 3,0.71
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Receptor tyrosine-protein kinase erbB-2,0.704
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Serine/threonine-protein kinase mTOR,0.857
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Proto-oncogene tyrosine-protein kinase Src,0.966
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Tyrosine-protein kinase HCK,0.937
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Tyrosine-protein kinase JAK2,0.714
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Tyrosine-protein kinase ITK/TSK,0.938
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",RAC-gamma serine/threonine-protein kinase,0.973
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Tyrosine-protein kinase Lyn,0.982
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",RAC-alpha serine/threonine-protein kinase,0.994
Phospholipase A2,Prostaglandin G/H synthase 2,0.748
Phospholipase A2,Prostaglandin G/H synthase 1,0.759
Plasminogen,Prothrombin,0.826
Plasminogen,Serine protease 1,0.832
Platelet-derived growth factor receptor alpha,Receptor tyrosine-protein kinase erbB-2,0.768
Platelet-derived growth factor receptor alpha,Tyrosine-protein kinase JAK2,0.929
Platelet-derived growth factor receptor alpha,Proto-oncogene tyrosine-protein kinase Src,0.954
Platelet-derived growth factor receptor alpha,Signal transducer and activator of transcription 3,0.961
Platelet-derived growth factor receptor alpha,Platelet-derived growth factor receptor beta,0.989
Platelet-derived growth factor receptor beta,Tyrosine-protein phosphatase non-receptor type 1,0.708
Platelet-derived growth factor receptor beta,Receptor tyrosine-protein kinase erbB-2,0.874
Platelet-derived growth factor receptor beta,Signal transducer and activator of transcription 3,0.915
Platelet-derived growth factor receptor beta,Tyrosine-protein kinase JAK2,0.954
Platelet-derived growth factor receptor beta,Vascular endothelial growth factor receptor 2,0.986
Platelet-derived growth factor receptor beta,Proto-oncogene tyrosine-protein kinase Src,0.999
Poly [ADP-ribose] polymerase 1,Poly [ADP-ribose] polymerase 2,0.965
Poly [ADP-ribose] polymerase 1,Receptor tyrosine-protein kinase erbB-2,0.741
Poly [ADP-ribose] polymerase 1,Progesterone receptor,0.711
Poly [ADP-ribose] polymerase 1,Tyrosine-protein kinase ABL1,0.789
Poly [ADP-ribose] polymerase 1,RAC-alpha serine/threonine-protein kinase,0.825
Poly [ADP-ribose] polymerase 1,Serine/threonine-protein kinase Chk1,0.858
Presenilin-1,Receptor tyrosine-protein kinase erbB-4,0.713
Progesterone receptor,Signal transducer and activator of transcription 3,0.858
